Date,tlref_close,tlref_ret,tlref_vol20,regime
2020-03-11,1122.683,0.0003008877927319631,0.00025237222410185844,DUSUK
2020-03-12,1123.0164,0.00029696717595251165,0.0002520180990524486,DUSUK
2020-03-13,1124.0066,0.0008817324484307054,0.00025364763373371337,DUSUK
2020-03-16,1124.3382,0.0002950160612935626,0.00025356112354491575,DUSUK
2020-03-17,1124.6661,0.0002916382277147189,0.00025375314747029564,DUSUK
2020-03-18,1124.9627,0.0002637227173469814,0.00025487748766527056,DUSUK
2020-03-19,1125.266,0.0002696089390341605,0.0002557421372955855,DUSUK
2020-03-20,1126.1849,0.0008166069178308089,0.00023909117535891644,DUSUK
2020-03-23,1126.4926,0.0002732233401461226,0.0002399157871262384,DUSUK
2020-03-24,1126.788,0.0002622298628502939,0.00024082351546837825,DUSUK
2020-03-25,1127.0759,0.00025550502845250733,0.0002418806846360744,DUSUK
2020-03-26,1127.3765,0.0002667078588052263,0.00024262867324515848,DUSUK
2020-03-27,1128.2622,0.0007856292906582851,0.00023124613082283393,DUSUK
2020-03-30,1128.5544,0.0002589823535699143,0.00023233282187686937,DUSUK
2020-03-31,1128.8341,0.00024783918258619586,0.00023362920064463964,DUSUK
2020-04-01,1129.1057,0.0002406022284409115,0.00023532763853545137,DUSUK
2020-04-02,1129.3771,0.00024036722159825885,0.00023687995379713194,DUSUK
2020-04-03,1130.2463,0.0007696277886279912,0.00022358475043419168,DUSUK
2020-04-06,1130.5407,0.0002604741992962012,0.0002245218272724938,DUSUK
2020-04-07,1130.827,0.0002532416568461482,0.0002256400442367792,DUSUK
2020-04-08,1131.1066,0.00024725267437020193,0.00022690158590156669,DUSUK
2020-04-09,1131.3819,0.00024338996872619312,0.00022816977246483566,DUSUK
2020-04-10,1132.2045,0.000727075446407488,0.00021200374356676076,DUSUK
2020-04-13,1132.4937,0.0002554308872646516,0.00021285919592328937,DUSUK
2020-04-14,1132.7802,0.0002529815397647184,0.00021370039492955056,DUSUK
2020-04-15,1133.083,0.0002673069320950905,0.00021361731274041986,DUSUK
2020-04-16,1133.3719,0.0002549680826560152,0.0002139671087907177,DUSUK
2020-04-17,1134.23,0.0007571212944312844,0.00020758926799519615,DUSUK
2020-04-20,1134.525,0.0002600883418708566,0.0002078854906451304,DUSUK
2020-04-21,1134.8202,0.0002601969987439112,0.00020793390372592687,DUSUK
2020-04-22,1135.4058,0.0005160288828132131,0.00020951150095671508,DUSUK
2020-04-24,1136.1578,0.0006623182654166282,0.00021792488980837955,DUSUK
2020-04-27,1136.4025,0.00021537501216828403,0.00019971260651614528,DUSUK
2020-04-28,1136.6523,0.0002198164822764248,0.0002009387165629251,DUSUK
2020-04-29,1136.904,0.00022143974898924945,0.00020178245281968644,DUSUK
2020-04-30,1138.0144,0.000976687565528822,0.0002425822336750454,DUSUK
2020-05-04,1138.2951,0.0002466576872841575,0.00024237783062825913,DUSUK
2020-05-05,1138.553,0.00022656690694722315,0.00022800105609530462,DUSUK
2020-05-06,1138.81,0.00022572510897589382,0.00022897959914264433,DUSUK
2020-05-07,1139.105,0.000259042333664139,0.0002288349082502354,DUSUK
2020-05-08,1139.9807,0.0007687614399023435,0.00024395204690382525,DUSUK
2020-05-11,1140.2462,0.00023289867977593914,0.00024429684874773466,DUSUK
2020-05-12,1140.4917,0.00021530437900163513,0.00023374224405899252,DUSUK
2020-05-13,1140.7418,0.00021929138107701363,0.00023476914869580726,DUSUK
2020-05-14,1140.9941,0.0002211718725479983,0.00023565927092568446,DUSUK
2020-05-15,1141.8859,0.0007815991335977657,0.00025232841198133675,DUSUK
2020-05-18,1142.4192,0.0004670344033497198,0.00025093770711315315,DUSUK
2020-05-20,1142.687,0.00023441482776176414,0.00023843751398458092,DUSUK
2020-05-21,1142.97,0.0002476618706610534,0.00023875914295086323,DUSUK
2020-05-22,1144.2459,0.0011163022651512478,0.0002892673877320814,DUSUK
2020-05-27,1144.4839,0.00020799724954234655,0.00029172247840693295,DUSUK
2020-05-28,1144.7191,0.00020550747808689707,0.000287820360092592,DUSUK
2020-05-29,1145.5255,0.0007044522975112599,0.0002942087338676815,DUSUK
2020-06-01,1145.7989,0.00023866775554104436,0.0002936310045126463,DUSUK
2020-06-02,1146.0563,0.00022464675083910812,0.0002935287256527132,DUSUK
2020-06-03,1146.3146,0.00022538159774510014,0.0002624033822438671,DUSUK
2020-06-04,1146.5778,0.00022960538058236502,0.00026283021432554036,DUSUK
2020-06-05,1147.3501,0.0006735696435078431,0.0002695727393304049,DUSUK
2020-06-08,1147.6077,0.00022451734653605726,0.0002696104183313098,DUSUK
2020-06-09,1147.8534,0.00021409755267409736,0.0002708988280065381,DUSUK
2020-06-10,1148.102,0.00021657817975717641,0.0002572714488450919,DUSUK
2020-06-11,1148.3583,0.000223238004985582,0.000257521779376854,DUSUK
2020-06-12,1149.0983,0.0006443981812993549,0.00026312361828914843,DUSUK
2020-06-15,1149.3365,0.0002072929704968196,0.000263513123989784,DUSUK
