hypothesis,horizon,period,event_count,excess_return_bps,t_stat,p_value,event_count_nonoverlap,excess_return_bps_nonoverlap,t_stat_nonoverlap,p_value_nonoverlap,p_value_for_correction,q_value_bh
xsect_reversal_bottom20_lb10,20,full,965,-30.73194429432094,-4.774620433896673,2.0797140613877825e-06,68.0,-19.26895991305318,-0.8061720285864254,0.4229958994294315,0.4229958994294315,0.5687145439811964
xsect_reversal_bottom20_lb10,20,older,488,-32.952708214986224,-3.1609312800071794,0.0016706309543494315,34.0,-30.442132160424944,-0.7977791039087035,0.43070223802748786,0.43070223802748786,0.5687145439811964
calendar_dow_Tue,1,older,99,-14.172411278098268,-0.7902752740639565,0.43127519585240726,,,,,0.43127519585240726,0.5687145439811964
xsect_reversal_bottom20_lb20,5,full,970,-0.530396483490661,-0.16452034240714195,0.8693558455291817,203.0,-5.082732502512652,-0.7484285463940253,0.4550722318533208,0.4550722318533208,0.5935724763304184
52w_high_breakout,5,recent,492,29.201904134925595,2.403174273056799,0.016623368799114423,103.0,19.29294136799639,0.6964060760333955,0.48775851211781907,0.48775851211781907,0.6225660091575096
calendar_month_start,1,older,49,19.818260631407973,0.6920226030452017,0.4922572713506741,,,,,0.4922572713506741,0.6225660091575096
vol_regime_high_vol_regime,10,older,114,1.7795035632967754e-14,2.6381801544940138,0.00951029672260927,18.0,7.092385836182828e-15,0.7008731798465694,0.49286475724969503,0.49286475724969503,0.6225660091575096
xsect_reversal_bottom20_lb10,5,recent,492,-7.794614389164443,-2.019144364898839,0.04401512837631089,103.0,-5.744987893790936,-0.665364260044096,0.5073193047468739,0.5073193047468739,0.6310149647011041
xsect_reversal_bottom20_lb20,10,full,965,-15.695088239789916,-3.46167050464136,0.0005603982518882679,133.0,-8.808793843862963,-0.6605212628291333,0.5100704298000591,0.5100704298000591,0.6310149647011041
vol_regime_low_vol_regime,10,older,66,7.395520373278836e-15,0.7787816008589552,0.4389344093683034,12.0,-1.2173498077030223e-14,-0.6040482211790211,0.5580636554437695,0.5580636554437695,0.6757140875221077
calendar_month_start,1,recent,47,12.240142279662468,0.585809821018596,0.5608666977553036,,,,,0.5608666977553036,0.6757140875221077
vol_regime_high_vol_regime,20,older,114,-2.1115587053521524e-15,-0.24593371666574332,0.8061796942053987,10.0,2.057850457543197e-14,0.5870027588120874,0.5716310597569316,0.5716310597569316,0.6757140875221077
calendar_dow_Tue,1,full,199,-5.973799144941958,-0.5500441329699028,0.5829090463309701,,,,,0.5829090463309701,0.6757140875221077
52w_high_breakout,5,older,399,-14.658142802757974,-0.9540799990497242,0.3406222443987965,85.0,-15.969173413105516,-0.5489104380821731,0.5845230698003526,0.5845230698003526,0.6757140875221077
52w_high_breakout,10,full,886,32.27007374404388,2.2838289959125264,0.022617720659608917,122.0,18.671080677628304,0.5482510891445697,0.5845295870105877,0.5845295870105877,0.6757140875221077
xsect_momentum_top20_lb20,20,full,955,-24.831541193070446,-2.9000610962896056,0.003816516037554362,67.0,-16.04358437132492,-0.5478853965955396,0.5856188758524934,0.5856188758524934,0.6757140875221077
52w_high_breakout,10,recent,487,48.149392032364105,2.643575415298244,0.008468612248209847,68.0,21.3115172682888,0.5132938587297693,0.609434260566085,0.609434260566085,0.6897266072813003
xsect_reversal_bottom20_lb10,20,recent,477,-28.459967788483077,-3.8044438238359115,0.0001606427948121883,34.0,-15.00233024419883,-0.5148166258674138,0.6101124100775295,0.6101124100775295,0.6897266072813003
vol_regime_low_vol_regime,20,recent,117,-3.376551083127224e-15,-0.6704471626262719,0.5039053961049449,12.0,9.844654966641832e-15,0.5175714649319662,0.6150062248258261,0.6150062248258261,0.6897266072813003
52w_high_breakout,20,older,399,45.69790306584027,1.5158802386737202,0.13034343461771597,28.0,51.661779494863694,0.4336584251600121,0.6679818162788491,0.6679818162788491,0.7422020180876101
xsect_reversal_bottom20_lb20,10,older,478,-17.7411914069211,-2.358297850589349,0.01876151696414243,66.0,-9.184269790853925,-0.41444164658835486,0.6799152603419412,0.6799152603419412,0.7485305618443389
vol_regime_low_vol_regime,10,full,183,2.7435923677526434e-15,0.7135803066433036,0.4764007811646447,33.0,-3.5028879842205557e-15,-0.39078745250382074,0.6985440380439119,0.6985440380439119,0.7620480415024493
calendar_dow_Fri,1,recent,99,4.8666908999466925,0.3661393284944544,0.7150503385725859,,,,,0.7150503385725859,0.7730273930514442
52w_high_breakout,10,older,399,12.888549918450012,0.5824467710498394,0.56059559549217,55.0,-14.172545578043145,-0.2861333027913903,0.7758708871441283,0.7758708871441283,0.8312902362258517
vol_regime_low_vol_regime,5,older,66,-4.1861436075163117e-16,-0.0766163645979643,0.9391640825732946,18.0,2.611127123768802e-15,0.2778907008714092,0.7844476528868851,0.7844476528868851,0.8330417552781081
calendar_month_end,1,recent,51,-3.1309420153969105,-0.24101098423860323,0.8105321881700837,,,,,0.8105321881700837,0.8531917770211407
calendar_dow_Tue,1,recent,100,2.142826866882791,0.17327488077499076,0.8627891535639217,,,,,0.8627891535639217,0.8947594952028629
vol_regime_low_vol_regime,10,recent,117,1.1942785181478935e-16,0.04329951087384537,0.9655372264729498,21.0,1.4517463545278268e-15,0.1722988566954356,0.8649341786961008,0.8649341786961008,0.8947594952028629
52w_high_breakout,5,full,891,9.560873014683452,0.9925661459638767,0.3211912029151373,187.0,3.1194244597451464,0.15459082975311922,0.8773115174064092,0.8773115174064092,0.899806684519394
xsect_momentum_top20_lb20,20,older,478,-4.66463686701033,-0.33126585761189775,0.7405891589750666,34.0,3.944838340081657,0.08226967176735987,0.9349292618176973,0.9349292618176973,0.9507755204925736
xsect_reversal_bottom20_lb20,5,older,478,4.050839900810711,0.7648507758736398,0.44473863421428605,101.0,0.38246173524728466,0.03586695024318271,0.9714599482974438,0.9714599482974438,0.9796234772747332
vol_regime_high_vol_regime,20,full,219,3.059688021743158e-16,0.05981733690798119,0.952355916585292,20.0,4.28718845321501e-16,0.022970924104367917,0.9819129993188578,0.9819129993188578,0.9819129993188578
